01-11 10:45:50.898 19067 19067 D pobotag GameView: Winner 87: Red
01-11 10:46:30.775 19067 19067 D pobotag GameView: Winner 88: Red
01-11 10:47:06.541 19067 19067 D pobotag GameView: Winner 89: Red
01-11 10:47:50.695 19067 19067 D pobotag GameView: Winner 90: Red
01-11 10:48:32.741 19067 19067 D pobotag GameView: Winner 91: Red
01-11 10:49:06.528 19067 19067 D pobotag GameView: Winner 92: Red
01-11 10:49:48.541 19067 19067 D pobotag GameView: Winner 93: Red
01-11 10:50:26.441 19067 19067 D pobotag GameView: Winner 94: Red
01-11 10:51:14.815 19067 19067 D pobotag GameView: Winner 95: Red
01-11 10:51:59.128 19067 19067 D pobotag GameView: Winner 96: Red
01-11 10:52:53.713 19067 19067 D pobotag GameView: Winner 97: Red
01-11 10:53:33.625 19067 19067 D pobotag GameView: Winner 98: Red
01-11 10:54:00.993 19067 19067 D pobotag GameView: Winner 99: Red
01-11 10:55:14.479 19067 19067 D pobotag GameView: Winner 100: Red
